application_name,business_process,module_name,module_role,lines_of_code,branch_instruction_count,called_module_count,calling_module_count,file_io_count,database_access_count,macro_call_count,packed_decimal_instruction_count,historical_defect_count,change_count_last_12_months,comment_ratio,unsupported_instruction_count,risk_level
Payments,Standing Instructions,STNDP00,BatchProcessor,5036,34,5,5,14,3,17,13,3,0,0.26,1,Low
Reporting,Year End Reporting,RPTR62,ReportWriter,6222,200,14,23,14,13,30,33,17,30,0.21,5,High
Savings Accounts,Account Opening,ACCTR28,ReportWriter,6128,123,14,9,12,9,8,85,23,11,0.09,7,High
Compliance,Sanction Screening,KYCB80,DatabaseAccess,6104,10,1,5,4,8,11,12,0,0,0.36,1,Low
Customer Management,Customer Profile Maintenance,HISTC97,Calculation,7499,70,22,13,4,12,32,71,21,15,0.13,7,High
Fixed Deposits,FD Renewal,FDMV05,Validation,2198,74,3,6,3,0,3,7,2,4,0.52,1,Low
Loans,EMI Processing,POSTV23,Validation,2794,153,22,9,13,7,25,50,22,18,0.09,10,High
Reporting,Month End Reporting,MONR27,ReportWriter,4986,3,2,0,11,2,8,2,3,1,0.42,0,Low
Current Accounts,Overdraft Control,BALC27,Calculation,807,40,4,12,7,1,16,57,3,8,0.25,4,Medium
Fixed Deposits,FD Creation,DOCU98,Utility,1376,75,4,14,2,0,17,5,5,8,0.13,2,Medium
Payments,Standing Instructions,DATEV86,Validation,604,126,14,8,15,4,8,17,17,16,0.07,10,High
Reporting,Month End Reporting,MONR81,ReportWriter,663,193,19,10,14,7,17,11,29,20,0.02,7,High
Payments,External Transfer,PAYC76,Calculation,210,195,18,5,3,13,23,47,15,26,0.11,9,High
Payments,Standing Instructions,POSTP03,BatchProcessor,1107,116,15,14,10,12,20,10,14,26,0.0,7,High
Customer Management,Customer Profile Maintenance,PROFA71,Audit,3979,21,5,10,5,0,5,15,1,1,0.57,1,Low
Reporting,Management MIS,DASHR68,ReportWriter,724,179,18,18,16,5,20,33,19,29,0.03,2,High
Savings Accounts,Account Opening,KYCB78,DatabaseAccess,4210,75,4,3,8,9,14,54,11,15,0.14,2,Medium
Payments,External Transfer,AUTHB39,DatabaseAccess,8985,140,13,19,14,10,26,78,29,33,0.21,2,High
Savings Accounts,Withdrawal Processing,POSTC87,Calculation,2723,55,11,7,4,2,7,63,11,8,0.1,2,Medium
Customer Management,KYC Verification,AMLB66,DatabaseAccess,5356,37,6,14,2,15,13,22,2,16,0.08,0,Medium
Credit Cards,Authorization,AUTHV33,Validation,2397,36,8,7,4,1,3,48,2,6,0.44,0,Low
Payments,External Transfer,SWFTV02,Validation,5065,40,14,1,1,2,15,12,11,18,0.35,3,Medium
Current Accounts,Charge Calculation,GLMM37,Compliance,8508,177,8,6,5,11,18,32,21,28,0.13,2,High
Shared Utilities,Date Utility,DATEA53,Audit,3887,31,11,24,2,6,5,23,11,18,0.12,0,Medium
Credit Cards,Fee Calculation,FEECALC,Calculation,5751,60,9,8,9,6,10,20,2,13,0.19,4,Medium
Compliance,Sanction Screening,NAMEM28,Compliance,861,95,5,4,2,3,12,36,11,4,0.3,2,Medium
Payments,Standing Instructions,PAYB38,DatabaseAccess,5968,12,8,8,2,9,15,5,0,3,0.55,1,Low
Payments,External Transfer,ACHB65,DatabaseAccess,733,127,13,14,15,12,14,52,26,26,0.04,6,High
Savings Accounts,Interest Posting,BALC89,Calculation,5862,53,8,7,9,6,13,68,5,9,0.19,2,Medium
Current Accounts,Charge Calculation,CHGV54,Validation,5146,43,11,10,1,0,16,41,3,17,0.13,1,Medium
Shared Utilities,Error Handling,LOGU16,Utility,1309,69,2,23,6,7,5,2,4,7,0.29,3,Medium
Current Accounts,Overdraft Control,AUTHM44,Compliance,6915,109,5,20,3,13,28,50,34,31,0.06,10,High
Customer Management,Customer Profile Maintenance,UPDTC48,Calculation,2271,49,6,13,3,8,13,47,2,5,0.11,4,Medium
Compliance,Sanction Screening,SCRND52,Driver,8177,92,14,6,5,12,20,28,16,17,0.13,8,High
Payments,Internal Transfer,AUTHC39,Calculation,7705,34,7,3,4,3,2,69,1,5,0.58,0,Low
Shared Utilities,Packed Decimal Utility,PACKU06,Utility,2569,216,0,16,13,11,11,5,19,15,0.09,4,High
Savings Accounts,Withdrawal Processing,BALM78,Compliance,1277,160,19,16,15,12,25,54,25,16,0.15,7,High
Customer Management,KYC Verification,KYCB36,DatabaseAccess,2218,5,0,0,5,5,9,2,0,4,0.27,0,Low
Shared Utilities,Packed Decimal Utility,PACKM83,Compliance,4252,207,5,17,12,10,17,30,33,33,0.08,5,High
